timing,delay,temp,press
30,1.1556,1511,504
30,1.2111,1514,502
30,1.2778,1504,505
30,1.4444,1474,504
30,1.5556,1460,512
30,1.0222,1536,529
30,1.0889,1527,524
30,1.2,1504,523
30,1.3666,1494,522
30,0.8778,1609,566
30,0.9333,1596,563
30,1.0333,1580,557
30,1.0889,1571,555
30,0.8222,1637,600
30,0.9333,1609,577
30,0.9777,1576,570
24,1.0222,1530,569
24,1.0889,1495,566
24,1.2333,1481,536
24,1.3667,1455,552
24,0.9111,1593,624
24,1.0111,1571,615
24,1.0337,1536,603
24,0.7778,1650,688
24,0.8333,1636,670
24,0.8889,1628,662
24,0.9333,1601,640
24,0.7,1725,738
24,0.6444,1702,717
24,0.6556,1684,705
24,0.6556,1666,684
24,0.8,1658,607
24,0.8833,1639,607
24,1,1605,598
24,1.0667,1608,605
24,1.1333,1591,603
24,0.6333,1792,694
24,0.6917,1730,671
24,0.7167,1682,660
24,0.7667,1661,651
24,0.8,1634,638
24,0.5417,1817,746
24,0.6167,1742,711
24,0.6333,1731,705
24,0.5167,1879,799
24,0.35,1816,728
24,0.2833,1784,701
